OID_,SiteName,Yesterday,Installed,Removed,Agency,Max_ASPD,Max_ASPD_Direction,Max_ASPD_datetime,Max_PM10,Max_PM10_datetime,Avg_PM10_24Hour,TimeStampCount,Max_PM10_ASPD,Max_PM10_ASPD_Direction
1,A-Tower,12/4/2024 0:00:00,2/5/2001 0:00:00,,GBUAPCD,2.2279999,173.1000061,12/4/2024 13:00:00,,,,24,,
2,B-Tower,12/4/2024 0:00:00,3/3/2010 0:00:00,,GBUAPCD,2.1340001,232.8999939,12/4/2024 0:00:00,,,,24,,
3,Bartlett Point,12/4/2024 0:00:00,12/3/2010 0:00:00,,GBUAPCD,2.0160000,118.4000015,12/4/2024 12:00:00,,,,24,,
4,Channel,12/4/2024 0:00:00,1/7/2011 0:00:00,,LADWP,1.7600000,21.2999992,12/4/2024 11:00:00,,,,24,,
5,Cottonwood,12/4/2024 0:00:00,5/17/2001 0:00:00,,GBUAPCD,2.2070000,222.8999939,12/4/2024 0:00:00,,,,24,,
6,Dirty Socks,12/4/2024 0:00:00,6/24/1999 0:00:00,,GBUAPCD,2.5160000,208.3999939,12/4/2024 0:00:00,33.2999992,12/4/2024 15:00:00,8.8541670,24,0.9730000,274.3999939
7,Flat Rock,12/4/2024 0:00:00,1/9/2001 0:00:00,,GBUAPCD,2.3210001,116.0000000,12/4/2024 0:00:00,,,,24,,
8,Keeler,12/4/2024 0:00:00,7/1/1994 0:00:00,,GBUAPCD,2.0090001,173.1999969,12/4/2024 13:00:00,32.9000015,12/4/2024 16:00:00,9.4958334,24,0.8780000,61.0999985
9,LADWP T11,12/4/2024 0:00:00,9/28/2015 0:00:00,,LADWP,1.8290000,199.6999969,12/4/2024 0:00:00,12.3999996,12/4/2024 13:00:00,7.3208332,24,0.7370000,4.0000000
10,LADWP T16,12/4/2024 0:00:00,12/18/2010 0:00:00,,LADWP,2.0139999,276.6000061,12/4/2024 0:00:00,12.6999998,12/4/2024 18:00:00,7.0541668,24,1.1170000,322.5000000
11,LADWP T2,12/4/2024 0:00:00,8/6/2015 0:00:00,,LADWP,1.6370000,69.3000031,12/4/2024 9:00:00,26.7999992,12/4/2024 17:00:00,8.2583332,24,1.2610000,189.6999969
12,LADWP T29-4 North,12/4/2024 0:00:00,5/4/2015 0:00:00,,LADWP,,,,,,,,,
13,LADWP T29-4 South,12/4/2024 0:00:00,9/24/2015 0:00:00,,LADWP,,,,,,,,,
14,LADWP T7,12/4/2024 0:00:00,7/9/2012 0:00:00,,LADWP,1.8370000,181.5000000,12/4/2024 4:00:00,19.5000000,12/4/2024 16:00:00,7.3166666,24,0.9310000,39.7000008
15,Lizard Tail,12/4/2024 0:00:00,1/17/2008 0:00:00,,GBUAPCD,2.2090001,184.1000061,12/4/2024 13:00:00,11.0000000,12/4/2024 22:00:00,6.5416665,24,0.8120000,118.8000031
16,Lone Pine,12/4/2024 0:00:00,12/23/2020 0:00:00,,GBUAPCD,2.2969999,155.5000000,12/4/2024 14:00:00,18.2000008,12/4/2024 18:00:00,7.7041669,24,0.7230000,253.1000061
17,Mammoth Lakes,12/4/2024 0:00:00,1/1/2006 0:00:00,,GBUAPCD,1.9069999,271.6000061,12/4/2024 5:00:00,136.3999939,12/4/2024 8:00:00,40.1624985,24,1.0950000,268.2000122
18,Mammoth Lakes NC,12/4/2024 0:00:00,1/1/2006 0:00:00,,GBUAPCD,,,,,,,,,
19,Mill,12/4/2024 0:00:00,11/14/2001 0:00:00,,GBUAPCD,2.6029999,203.1000061,12/4/2024 11:00:00,10.5000000,12/4/2024 8:00:00,6.5250001,24,0.7550000,275.8999939
20,Mono Shore,12/4/2024 0:00:00,6/2/2008 0:00:00,,GBUAPCD,3.1370001,51.2999992,12/4/2024 1:00:00,,,,24,,
21,North Beach,12/4/2024 0:00:00,8/4/2014 0:00:00,,GBUAPCD,2.4389999,183.6999969,12/4/2024 13:00:00,9.8999996,12/4/2024 20:00:00,6.1750002,24,1.4290000,341.2999878
22,Olancha,12/4/2024 0:00:00,7/1/2019 0:00:00,,GBUAPCD,1.7930000,263.7000122,12/4/2024 22:00:00,44.4000015,12/4/2024 16:00:00,7.7916665,24,1.3140000,206.6000061
23,Shell Cut,12/4/2024 0:00:00,1/8/2001 0:00:00,,GBUAPCD,1.9940000,198.1999969,12/4/2024 6:00:00,9.3999996,12/4/2024 20:00:00,5.9416666,24,1.2290000,201.0000000
24,Stanley,12/4/2024 0:00:00,5/20/2005 0:00:00,,GBUAPCD,1.8430001,199.1999969,12/4/2024 0:00:00,9.8999996,12/4/2024 7:00:00,5.4291668,24,0.8760000,177.8000031
25,T-25,12/4/2024 0:00:00,7/6/2018 0:00:00,,GBUAPCD,1.5490000,144.1999969,12/4/2024 7:00:00,,,,24,,
26,T-27,12/4/2024 0:00:00,8/21/2012 0:00:00,,LADWP,,,,,,,,,
27,T1A1,12/4/2024 0:00:00,12/18/2010 0:00:00,,LADWP,2.0660000,207.0000000,12/4/2024 6:00:00,,,,24,,
